date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty,accum_dist,atr,cmo,cmf,cci,ema_fast,ema_slow,hma_fast,hma_slow,mfi,obv,sma,percent_k,percent_d,smoothed_ma,true_range,ulti_osc,volatility,rsi,williams,trend,trend_nextday
2013-03-28 21:00:00,142.878,143.03,143.09,142.195,142.903,143.077,143.124,142.219,80673,3776628.815307505,2.800045447884072,-18.573759030528837,0.17594332081332434,-3.101592872838207,143.22501662323023,143.50751533816555,142.78036111111115,143.0835611111111,25.597496986166234,2112123.0,143.6589,0.08262108262108597,0.11604508900608568,143.30843353551924,-67.4475084166431,29.382503971881963,1.5354961997979713,-4.725451936827099,-67.4475084166431,1,1.0
2013-03-29 21:00:00,143.03,143.154,143.274,142.586,143.077,143.299,143.338,142.627,46870,3818356.958767422,2.730640903095664,-9.492070788324062,0.17360073782156898,-1.8103836939569875,143.21601514404452,143.47638739583468,143.0351507936508,142.9445015873016,32.364780311122104,2158993.0,143.60139999999998,0.18803418803419564,0.11238154411913726,143.30749018196732,-67.16224203952609,31.919192025609792,1.5254985462506143,-0.17660519206380343,-67.16224203952609,1,0.0
2013-03-31 21:00:00,143.154,143.17,143.17,143.042,143.299,143.305,143.315,143.246,17,3818369.03123119,2.668176812786097,-55.68627450980269,0.23444118743308873,-0.7947221680211255,143.21122617454392,143.41923742774733,143.27010714285717,142.92312380952382,27.35880897204963,2159010.0,143.5607,0.1908831908831986,0.15384615384616007,143.3072411637706,-67.15453213744185,29.24603502087315,1.5139829776950697,-0.05166956993187455,-67.15453213744185,0,0.0
2013-04-01 21:00:00,143.17,141.996,143.396,141.799,143.305,142.046,143.423,141.834,54920,3778103.5812626556,2.5980591315074886,-59.19349984953279,0.07903125991354282,-3.3524744601537764,142.84982841445373,143.1945030279479,142.7517380952381,142.74174206349207,17.5490189477175,2104090.0,143.2644,0.0,0.12630579297246475,143.18111704739357,-68.7723265914523,31.726802050009407,1.6653153284096769,-29.077655710584082,-68.7723265914523,0,0.0
2013-04-02 21:00:00,141.996,141.098,142.106,140.944,142.046,141.126,142.188,140.976,80678,3717395.3832428544,2.6263532183567397,-67.99622374321372,0.0536513024775885,-6.217563291952675,142.349550327534,142.88488240664066,141.59137301587305,142.31336666666664,18.851616943208867,2023412.0,142.97570000000002,0.0,0.06362773029439954,142.9756053426542,-69.95451157770296,27.071006703599902,1.1836243419616657,-52.64477886776288,-69.95451157770296,0,1.0
2013-04-03 21:00:00,141.098,140.782,141.518,140.454,141.126,140.811,141.555,140.486,69038,3690335.5871717613,2.6692178965210664,-69.25867150305977,-0.03420957758440212,-6.958996205885772,141.87283137282526,142.54469460709302,140.57642857142858,141.73710873015872,19.87267307806205,1954374.0,142.65609999999998,0.0,0.0,142.75914480838875,-70.35928143712574,23.564313485341554,0.9986117351682028,-61.6105322427766,-70.35928143712574,1,1.0
2013-04-04 21:00:00,140.782,146.756,146.812,140.372,140.811,146.765,146.843,140.41,141547,3828450.0779225775,2.9976961068689576,40.73209549071612,0.15682557610686654,7.4492837243147365,143.2446055504684,143.17086426956524,143.17704365079365,142.28468174603177,32.320070417557474,2095921.0,142.946,1.0,0.3333333333333333,143.1597303275499,-62.70848860219477,44.466447909767396,0.6174902282091258,26.581596934987473,-62.70848860219477,1,1.0
2013-04-05 21:00:00,146.756,149.613,150.033,145.935,146.765,149.676,150.061,145.973,146134,3947058.8381965486,3.5844264961820604,53.6815920398009,0.34086913793050677,20.75141591990491,145.10659258998376,144.13522796547096,148.01359126984124,144.01705952380954,45.286986117822465,2242055.0,143.621,1.0,0.6666666666666666,143.8113572947949,-58.96790110765595,40.809840614376384,0.3740076483045547,33.6149598151122,-58.96790110765595,1,1.0
2013-04-07 21:00:00,149.613,150.241,150.438,149.613,149.676,150.42,150.616,149.676,672,3947450.5998986764,4.186883846563853,60.11195521791283,0.3434458954658106,24.520179701598064,146.70918595477917,145.10637896776404,151.72865079365076,146.33336904761907,61.9621665824654,2242727.0,144.3428,1.0,1.0,144.4722215653154,-58.011873249209756,32.15518994837656,0.2925180639580955,34.90260439573828,-58.011873249209756,1,1.0
2013-04-08 21:00:00,150.241,151.552,151.786,150.241,150.42,151.597,151.811,150.339,117518,4030798.9640291114,4.846795461907468,63.0737340835061,0.4423227887088612,25.231670386130215,148.25047812918223,146.12956735581866,153.38098412698412,148.72704444444446,69.91298199018817,2360245.0,145.2122,1.0,1.0,145.18469940878387,-56.49944745701728,27.780611575431706,0.24645465535277672,36.734990822627644,-56.49944745701728,1,1.0
2013-04-09 21:00:00,151.552,151.678,152.384,150.54,151.597,151.731,152.413,150.585,115721,4060172.3469612757,5.45411591571672,62.83159463487329,0.3667546634766772,23.0567037755905,149.49359399873214,147.0399136780175,153.5353253968254,150.8542492063492,82.06638444379539,2475966.0,146.07760000000002,1.0,1.0,145.8393294679055,-56.32725964380253,24.8316473299554,0.22446936212542437,36.93557249151606,-56.32725964380253,1,1.0
2013-04-10 21:00:00,151.678,152.963,153.042,151.376,151.731,153.017,153.071,151.408,103502,4156952.6295830435,6.129304324145047,66.06802721088432,0.40807097924502495,22.98257367460663,150.83238761710217,148.04661870263757,153.70192063492064,152.74914841269842,83.01943048676961,2579468.0,147.04940000000002,1.0,1.0,146.55709652111494,-54.67477063041301,22.982025579372277,0.20721217128688166,38.749605185507654,-54.67477063041301,1,0.0
2013-04-11 21:00:00,152.963,153.302,153.859,152.287,153.017,153.378,153.882,152.322,100537,4192527.260352272,6.773073891730541,82.10404289233462,0.4022052046574607,21.814431015686235,151.952766711277,148.96899660688487,153.96348809523806,154.20667777777774,84.27919811345382,2680005.0,148.0567,1.0,1.0,147.23918686900345,-54.210891521677695,22.11398104676397,0.19978075743241888,39.21662278588948,-54.210891521677695,0,0.0
2013-04-12 21:00:00,153.302,150.955,153.531,150.539,153.378,151.029,153.586,150.609,103666,4118111.995992177,7.352466502557486,65.01871183769951,0.3472971398025578,12.383156370759915,151.886038740579,149.4125777321511,152.897246031746,154.60200634920633,74.85783377146515,2576339.0,148.95499999999998,0.8130818811172122,0.9376939603724042,147.6181681821031,-57.22931818765902,16.41180724491829,0.21756803762849147,24.21048968519031,-57.22931818765902,0,0.0
2013-04-14 21:00:00,150.955,150.721,150.955,150.225,151.029,150.857,151.029,150.406,234,4118216.788929577,7.873919852301735,66.58271474019098,0.4460663629467767,4.822149878592133,151.67426132281466,149.7668891212625,151.36699603174603,154.19472063492063,70.7938460745325,2576105.0,149.9281,0.7993952415055311,0.8708257075409144,147.9420513638928,-57.45033538074067,13.404894828182718,0.2705164412539033,22.98961323974298,-57.45033538074067,0,1.0
